Name,Trial,Variables,Cut dim,Interactions,Time (s),Proposed solution,Real sample min,Real sample 25,Real sample mean,Real sample 75,Real sample max
V64C4,2,64,4,1024,15.40947,5.13577,-11.16882,8.84048,13.48079,17.84399,42.43625
V64C4,2,64,4,4096,17.47295,-2.43113,-91.35792,8.15044,26.41238,43.88963,152.80066
V64C4,3,64,4,64,19.64078,8.99947,5.24913,14.89254,22.94746,31.06156,50.44392
V64C4,3,64,4,256,15.13391,-8.73906,-15.89892,-0.04996,3.55531,7.30016,20.16992
V64C4,3,64,4,1024,14.94881,-4.13319,-21.99396,5.17359,10.50442,15.68257,44.97974
V64C4,3,64,4,4096,16.74591,-54.22594,-167.61404,-27.70784,-6.3607,15.62815,139.03216
V64C4,4,64,4,64,18.1673,5.07052,5.57433,14.38417,21.76227,29.10891,44.78232
V64C4,4,64,4,256,15.67214,-2.10562,-16.19261,0.35774,3.80929,7.46115,21.52675
V64C4,4,64,4,1024,14.79435,12.39051,-23.85686,5.43588,10.66351,15.95023,47.15797
V64C4,4,64,4,4096,13.2196,-3.17317,-82.94362,0.62192,18.14792,35.05574,132.34045
V64C8,0,64,8,64,13.1105,6.50659,6.5667,14.90848,23.25876,31.603,47.73092
V64C8,0,64,8,256,9.92097,6.33691,-0.60167,9.95695,13.34294,16.42512,32.22945
V64C8,0,64,8,1024,9.63935,8.06079,-31.79846,1.08283,8.32572,15.40319,52.11613
V64C8,0,64,8,4096,9.86949,43.45139,-38.2129,64.79415,90.38684,113.59092,272.6271
V64C8,1,64,8,64,26.91028,5.00984,6.83829,15.9812,23.38951,30.81551,46.56696
V64C8,1,64,8,256,11.35452,3.12897,-9.57191,5.33564,7.79837,10.3616,23.77661
V64C8,1,64,8,1024,10.7614,4.46128,-18.14801,6.39615,11.19689,15.92389,41.02852
V64C8,1,64,8,4096,11.31646,-74.48338,-158.34228,-36.56885,-16.60621,4.67309,97.45592
V64C8,2,64,8,64,9.79545,6.59753,7.68251,16.97218,24.47606,32.00101,48.51534
V64C8,2,64,8,256,9.39145,5.53864,0.6007,11.04442,14.16161,17.00118,31.37384
V64C8,2,64,8,1024,12.73565,6.33133,-13.49467,9.27797,14.21522,18.84936,47.68725
V64C8,2,64,8,4096,10.75116,-96.0675,-181.5924,-36.23651,-13.3719,10.15846,136.38459
V64C8,3,64,8,64,9.99973,11.56778,7.02603,17.1944,25.92074,34.67176,56.24145
V64C8,3,64,8,256,9.61019,2.51799,-8.17487,5.43075,8.14851,11.01397,23.64798
V64C8,3,64,8,1024,12.36895,-8.18839,-7.77235,11.69772,17.30102,22.34302,54.8542
V64C8,3,64,8,4096,10.3785,15.25577,-62.51417,39.97164,62.31998,83.20982,213.97486
V64C8,4,64,8,64,13.24124,10.71515,4.45279,13.52961,21.94574,30.3543,47.13511
V64C8,4,64,8,256,9.57767,4.98877,-2.42018,9.51978,13.30348,16.83682,34.6761
V64C8,4,64,8,1024,11.08048,-0.57993,-12.39344,11.0916,17.52413,23.33102,61.84388
V64C8,4,64,8,4096,10.6154,16.44973,-96.16629,-2.40571,16.02838,34.11224,138.82943
V64C16,0,64,16,64,4.11461,4.60999,6.24627,14.43926,22.78808,31.11755,47.10698
V64C16,0,64,16,256,4.05148,-1.21131,-5.08084,6.4214,9.49256,12.36849,27.28592
V64C16,0,64,16,1024,5.84565,-11.12526,-31.34066,-3.31244,1.3745,6.32608,27.53999
V64C16,0,64,16,4096,9.18036,-68.68212,-103.32438,-6.0108,10.35731,26.66876,119.57474
V64C16,1,64,16,64,4.15385,5.7282,6.9647,15.34669,23.36972,31.39687,48.21724
V64C16,1,64,16,256,4.50241,-1.04414,-9.48008,4.16391,6.93817,9.62289,23.74161
V64C16,1,64,16,1024,7.09001,-9.0866,-13.76963,5.71488,10.45243,14.95643,40.60467
V64C16,1,64,16,4096,8.348,-87.2668,-195.40278,-53.01364,-28.94532,-3.60276,118.65347
V64C16,2,64,16,64,5.97533,10.81698,7.11258,15.99241,24.33393,32.71186,52.97383
V64C16,2,64,16,256,4.06647,3.57433,-7.01979,7.29549,9.65017,12.18302,24.60235
V64C16,2,64,16,1024,6.21858,5.59159,-13.36815,9.46276,15.47119,20.97796,53.24207
V64C16,2,64,16,4096,8.32894,-45.06764,-104.21253,-12.32614,2.50098,17.68744,97.11731
V64C16,3,64,16,64,4.85098,4.25152,5.72589,14.4532,22.97581,31.41559,48.31698
V64C16,3,64,16,256,4.39881,2.3126,-1.15483,10.14344,14.29209,18.10811,35.64927
V64C16,3,64,16,1024,6.56269,-19.99729,-42.36228,-5.29608,0.26432,6.48269,31.18249
V64C16,3,64,16,4096,8.18496,-147.49572,-134.20181,-19.9645,0.45971,21.0677,162.24173
V64C16,4,64,16,64,4.05316,18.94321,6.88385,15.18292,23.78106,32.37506,49.41148
V64C16,4,64,16,256,4.95994,1.22474,-3.5743,7.72129,11.19513,14.4505,32.20655
V64C16,4,64,16,1024,5.23515,-18.40356,-26.38401,2.75504,8.15363,13.4443,43.49026
V64C16,4,64,16,4096,8.73963,-44.11011,-102.97009,-1.7773,17.41082,36.38295,136.12383
V64C32,0,64,32,64,2.08378,3.01604,6.2831,16.34384,24.68034,33.03437,50.44595
V64C32,0,64,32,256,3.78055,-1.10131,-11.97094,1.79693,5.2078,8.59633,21.08938
V64C32,0,64,32,1024,7.29665,-3.95759,-8.35308,9.82467,14.75957,19.3302,44.32027
V64C32,0,64,32,4096,16.29881,-106.92432,-95.41481,4.00866,21.27432,38.33695,135.14717
V64C32,1,64,32,64,1.8059,3.12436,6.1734,15.41401,23.24457,31.05269,48.22094
V64C32,1,64,32,256,3.57624,-5.66316,-16.82331,1.0581,4.14979,7.46747,24.58325
V64C32,1,64,32,1024,6.84342,1.8012,-17.68778,9.20204,14.97741,20.372,55.11195
V64C32,1,64,32,4096,13.82931,-140.46648,-109.04672,7.63043,29.01431,50.20834,165.51505
V64C32,2,64,32,64,1.89754,2.66735,6.22207,16.66051,24.5723,32.50311,48.67568
V64C32,2,64,32,256,4.70202,-0.13499,-10.58814,2.05716,5.60558,8.98539,23.55204
V64C32,2,64,32,1024,7.40556,-10.20037,-17.32743,4.74362,9.69895,14.51688,40.1206
V64C32,2,64,32,4096,13.30457,28.66539,-28.93552,51.45608,74.96611,96.1669,244.67389
V64C32,3,64,32,64,2.70209,1.22806,6.41399,15.70682,24.52701,33.34902,50.99282
V64C32,3,64,32,256,4.61367,-1.37423,1.38576,11.28398,14.61982,17.71314,33.02074
V64C32,3,64,32,1024,5.86839,-19.13149,-36.72822,-0.73767,5.3803,11.56894,42.46257
V64C32,3,64,32,4096,12.65302,-30.56784,-73.20619,8.00933,23.90914,39.35537,131.4466
V64C32,4,64,32,64,1.69559,2.7614,6.01017,14.8022,23.11276,31.43995,49.40388
V64C32,4,64,32,256,3.49305,4.78395,-13.54936,1.8489,5.57851,9.1451,28.32499
V64C32,4,64,32,1024,7.06502,-21.87407,-32.6175,-0.52098,4.96789,10.69928,36.36732
V64C32,4,64,32,4096,13.21679,-88.22784,-117.31065,-15.05704,2.3322,20.09754,107.5756
V64C64,0,64,64,64,0.92361,0.0,7.37466,16.94203,25.41542,33.88359,51.26805
V64C64,0,64,64,256,2.14708,-11.0197,-4.50214,7.40344,9.56445,11.72565,23.80047
V64C64,0,64,64,1024,6.21193,-54.7267,-35.00121,-3.14374,1.69454,6.85213,29.87523
V64C64,0,64,64,4096,11.8001,-191.34463,-107.52707,7.92939,29.31577,50.22701,183.46044
V64C64,1,64,64,64,0.92156,0.0,5.38723,15.23124,23.01603,30.80425,47.11289
V64C64,1,64,64,256,2.0446,-11.06812,-3.90014,7.54647,10.55448,13.31154,29.0447
V64C64,1,64,64,1024,6.41093,-35.21645,-20.10203,1.44456,6.29434,10.97849,37.81847
V64C64,1,64,64,4096,12.6296,-354.25219,-211.60397,-64.85763,-39.79903,-13.58462,139.49176
